;;; 
Import: Release 11.2.0.2.0 - Production on Thu Sep 3 15:27:10 2026

Copyright (c) 1982, 2009, Oracle and/or its affiliates.  All rights reserved.
;;; 
Connected to: Oracle Database 11g Express Edition Release 11.2.0.2.0 - 64bit Production
Master table "SYSTEM"."SYS_IMPORT_SCHEMA_01" successfully loaded/unloaded
Starting "SYSTEM"."SYS_IMPORT_SCHEMA_01":  system/********@XE DIRECTORY=BACKUP_DIR DUMPFILE=gxcontableDP20260901.dmp LOGFILE=gxcontable_import.log SCHEMAS=GXCONTABLE REMAP_TABLESPACE=TABLASMIGRACION:USERS 
Processing object type SCHEMA_EXPORT/SEQUENCE/SEQUENCE
Processing object type SCHEMA_EXPORT/TABLE/TABLE
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "GXCONTABLE"."FACTUPROVECABEITEMSF"             0 KB       0 rows
. . imported "GXCONTABLE"."FACTUPROVEIMPU"                   0 KB       0 rows
. . imported "GXCONTABLE"."FAMILIAS"                         0 KB       0 rows
. . imported "GXCONTABLE"."FUENTESCATADGIAGRUCABE"           0 KB       0 rows
. . imported "GXCONTABLE"."FUENTESCATADGIAGRUDETA"           0 KB       0 rows
. . imported "GXCONTABLE"."FUENTESDGIDETALLCABE"             0 KB       0 rows
. . imported "GXCONTABLE"."FUENTESDGIDETALLDETA"             0 KB       0 rows
. . imported "GXCONTABLE"."GXA0017"                          0 KB       0 rows
. . imported "GXCONTABLE"."HARDWARECABE"                     0 KB       0 rows
. . imported "GXCONTABLE"."HARDWAREDETA"                     0 KB       0 rows
. . imported "GXCONTABLE"."HERRAMIENTASCABE"                 0 KB       0 rows
. . imported "GXCONTABLE"."HERRAMIENTASDETA"                 0 KB       0 rows
. . imported "GXCONTABLE"."INSTALESTADOORICABE"              0 KB       0 rows
. . imported "GXCONTABLE"."INSTALESTADOORIDETA"              0 KB       0 rows
. . imported "GXCONTABLE"."INTEGRACIONEXISTCONTROL"          0 KB       0 rows
. . imported "GXCONTABLE"."LABORATORIOCABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."LABORATORIODETA"                  0 KB       0 rows
. . imported "GXCONTABLE"."LETRASFACTU"                      0 KB       0 rows
. . imported "GXCONTABLE"."LOGINTMP"                         0 KB       0 rows
. . imported "GXCONTABLE"."LUGARESENTREGA"                   0 KB       0 rows
. . imported "GXCONTABLE"."MAQUINARIASCABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."MAQUINARIASDETA"                  0 KB       0 rows
. . imported "GXCONTABLE"."MATRIZFUENTENRESPCABE"            0 KB       0 rows
. . imported "GXCONTABLE"."MATRIZFUENTENRESPDETA"            0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESBAJACABE"                0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESBAJADETA"                0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESENRESPCABE"              0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESENRESPDETA"              0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESNGCABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."MEDIDORESNGDETA"                  0 KB       0 rows
. . imported "GXCONTABLE"."NIVELAUTO"                        0 KB       0 rows
. . imported "GXCONTABLE"."OAUTHGRANTUSERAPP"                0 KB       0 rows
. . imported "GXCONTABLE"."OFICINASCOMERCIALESCABE"          0 KB       0 rows
. . imported "GXCONTABLE"."OFICINASCOMERCIALESDETA"          0 KB       0 rows
. . imported "GXCONTABLE"."OPERATINGSYSTEM"                  0 KB       0 rows
. . imported "GXCONTABLE"."ORDENCOMPRACABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."ORDENCOMPRACABEITEMSC"            0 KB       0 rows
. . imported "GXCONTABLE"."ORGANIGRAMAHISTORICO"             0 KB       0 rows
. . imported "GXCONTABLE"."ORGANISMOORIGENCABE"              0 KB       0 rows
. . imported "GXCONTABLE"."ORGANISMOORIGENDETA"              0 KB       0 rows
. . imported "GXCONTABLE"."PAIS"                             0 KB       0 rows
. . imported "GXCONTABLE"."PRESUPUESTOSDETALLE"              0 KB       0 rows
. . imported "GXCONTABLE"."PRODUCCUENTASTIPOS"               0 KB       0 rows
. . imported "GXCONTABLE"."PRODUCXCUENTAS"                   0 KB       0 rows
. . imported "GXCONTABLE"."PRODUCXUNIMED"                    0 KB       0 rows
. . imported "GXCONTABLE"."PROVINCIA"                        0 KB       0 rows
. . imported "GXCONTABLE"."REDESAGUACABE"                    0 KB       0 rows
. . imported "GXCONTABLE"."REDESAGUADETA"                    0 KB       0 rows
. . imported "GXCONTABLE"."REDESCLOACACABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."REDESCLOACADETA"                  0 KB       0 rows
. . imported "GXCONTABLE"."REPOSITORYCONNADD"                0 KB       0 rows
. . imported "GXCONTABLE"."REPOSITORYCOUNTRY"                0 KB       0 rows
. . imported "GXCONTABLE"."REPOSITORYLNG"                    0 KB       0 rows
. . imported "GXCONTABLE"."REPQUESTIONUSER"                  0 KB       0 rows
. . imported "GXCONTABLE"."REPQUESTIONUSERLNG"               0 KB       0 rows
. . imported "GXCONTABLE"."REQUECABECERA"                    0 KB       0 rows
. . imported "GXCONTABLE"."REQUECABECERAREQUEITEMS"          0 KB       0 rows
. . imported "GXCONTABLE"."RESPONSXCOMPROB"                  0 KB       0 rows
